GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290073065","Block Group 5, Census Tract 73.06, Erie County, New York",83828,41898,1597,643,0,"0"
"360290096024","Block Group 4, Census Tract 96.02, Erie County, New York",35272,6541,1582,488,0,"0"
"360290079052","Block Group 2, Census Tract 79.05, Erie County, New York",79643,14799,1104,267,0,"0"
"360290090041","Block Group 1, Census Tract 90.04, Erie County, New York",72500,19174,1687,252,0,"0"
"360290086005","Block Group 5, Census Tract 86, Erie County, New York",97617,38056,1554,369,2,"129"
"360290076002","Block Group 2, Census Tract 76, Erie County, New York",50558,7991,1282,248,0,"0"
"360290148051","Block Group 1, Census Tract 148.05, Erie County, New York",68346,8229,899,219,0,"0"
"360290104001","Block Group 1, Census Tract 104, Erie County, New York",52396,12256,1436,358,12,"836"
"360290137023","Block Group 3, Census Tract 137.02, Erie County, New York",72589,50798,877,298,0,"0"
"360290052011","Block Group 1, Census Tract 52.01, Erie County, New York",103750,42073,1043,266,1,"96"
"360290134005","Block Group 5, Census Tract 134, Erie County, New York",85577,78417,795,384,0,"0"
"360290078003","Block Group 3, Census Tract 78, Erie County, New York",58952,13556,1288,362,0,"0"
"360290133003","Block Group 3, Census Tract 133, Erie County, New York",78043,31902,1147,351,0,"0"
"360290173011","Block Group 1, Census Tract 173.01, Erie County, New York",76906,7576,1871,170,0,"0"
"360290134003","Block Group 3, Census Tract 134, Erie County, New York",66803,14117,965,308,0,"0"
"360290089001","Block Group 1, Census Tract 89, Erie County, New York",86607,15190,884,230,1,"113"
"360290148041","Block Group 1, Census Tract 148.04, Erie County, New York",44750,32672,930,297,0,"0"
"360290141013","Block Group 3, Census Tract 141.01, Erie County, New York",57341,32070,2938,732,0,"0"
"360290091091","Block Group 1, Census Tract 91.09, Erie County, New York",53979,2955,1094,276,0,"0"
"360290034004","Block Group 4, Census Tract 34, Erie County, New York",,,305,155,18,"5902"
"360290123003","Block Group 3, Census Tract 123, Erie County, New York",21050,7795,701,249,0,"0"
